Gamma,LacZ1_2L,LacZ1_2L_CI_lower,LacZ1_2L_CI_upper
1.53000,0.87465,0.59600,1.23590
1.54000,0.84719,0.56329,1.21017
1.55000,0.84719,0.55324,1.17936
1.56000,0.84719,0.54817,1.20396
1.57000,0.84220,0.55960,1.19257
1.58000,0.84220,0.56136,1.18390
1.59000,0.83914,0.53736,1.17914
1.60000,0.83691,0.56709,1.20599
1.61000,0.92106,0.63174,1.18677
1.62000,0.96678,0.66757,1.23232
1.63000,0.96845,0.67461,1.29546
1.64000,0.96687,0.66055,1.25011
1.65000,0.97610,0.65862,1.25055
1.66000,0.99504,0.68207,1.26029
1.67000,0.98732,0.66320,1.22665
1.68000,0.97960,0.65756,1.23681
1.69000,0.97960,0.67079,1.24853
1.70000,0.97181,0.66140,1.31072
1.71000,0.95094,0.64301,1.24590
1.72000,0.98102,0.67867,1.29602
1.73000,0.98102,0.68220,1.26800
1.74000,0.98295,0.68936,1.35777
1.75000,0.94030,0.64579,1.30203
1.76000,0.94065,0.63767,1.29486
1.77000,0.96261,0.66012,1.29198
1.78000,0.96261,0.69005,1.32152
1.79000,0.98527,0.72129,1.38485
1.80000,0.94725,0.64401,1.19836
1.81000,0.95416,0.65846,1.21460
1.82000,0.94754,0.65903,1.20746
1.83000,0.97054,0.73415,1.21233
1.84000,0.97000,0.69821,1.22927
1.85000,0.97027,0.70597,1.22817
1.86000,0.95555,0.68910,1.18192
1.87000,0.95555,0.66193,1.18230
1.88000,0.95555,0.70416,1.19179
1.89000,0.95555,0.69724,1.19865
1.90000,0.95555,0.70899,1.17407
1.91000,0.97108,0.70715,1.21558
1.92000,0.95682,0.68359,1.16981
1.93000,0.97161,0.72420,1.18931
1.94000,0.97161,0.69665,1.17592
1.95000,0.97237,0.70805,1.19202
1.96000,0.97237,0.70985,1.18540
1.97000,1.00425,0.77235,1.25543
1.98000,1.00425,0.78295,1.25725
1.99000,1.00425,0.77255,1.24465
2.00000,1.00459,0.76066,1.21303
2.01000,1.00550,0.77699,1.22330
2.02000,1.00550,0.76111,1.21096
2.03000,1.00721,0.76573,1.21446
2.04000,1.03525,0.81440,1.25941
2.05000,1.03525,0.81150,1.25452
2.06000,1.03525,0.80461,1.24883
2.07000,1.03525,0.81893,1.25826
2.08000,1.03100,0.79911,1.24549
2.09000,1.01856,0.77509,1.24857
2.10000,1.01856,0.77551,1.24001
2.11000,1.01856,0.77691,1.23635
2.12000,0.98250,0.74644,1.19234
2.13000,0.97346,0.74182,1.19058
2.14000,0.97241,0.74344,1.20380
2.15000,0.96896,0.74951,1.19026
2.16000,0.96896,0.75585,1.27136
2.17000,0.96896,0.74333,1.17497
2.18000,0.97667,0.74864,1.18636
2.19000,0.97408,0.75304,1.18271
2.20000,0.97240,0.75672,1.19268
2.21000,0.96982,0.76474,1.20449
2.22000,0.96982,0.75767,1.20176
2.23000,0.97439,0.76476,1.17692
2.24000,0.97439,0.77230,1.19396
2.25000,0.97689,0.75647,1.18184
2.26000,0.97147,0.74934,1.20891
2.27000,0.97453,0.74099,1.18164
2.28000,0.97453,0.75904,1.18298
2.29000,0.97453,0.74408,1.18942
2.30000,0.97652,0.76754,1.18882
2.31000,0.97652,0.76664,1.19012
2.32000,0.97652,0.74717,1.20099
2.33000,0.98027,0.74776,1.18704
2.34000,0.98027,0.75909,1.19117
2.35000,0.98078,0.74373,1.18048
2.36000,0.98239,0.73787,1.17980
2.37000,0.98239,0.76214,1.17856
2.38000,0.98239,0.73711,1.18604
2.39000,0.97865,0.75051,1.17231
2.40000,0.97897,0.75208,1.19417
2.41000,0.98271,0.75429,1.17921
2.42000,0.98346,0.76082,1.17992
2.43000,0.98090,0.76374,1.18121
2.44000,0.97828,0.77553,1.20177
2.45000,0.97828,0.77665,1.18973
2.46000,0.97846,0.75273,1.21144
2.47000,0.97846,0.76435,1.19008
2.48000,0.97846,0.76418,1.18481
2.49000,0.98198,0.76131,1.19433
2.50000,0.98599,0.77177,1.18643
2.51000,0.97175,0.77008,1.20648
2.52000,0.92735,0.68499,1.15029
2.53000,0.91719,0.67184,1.15817
2.54000,0.91738,0.67412,1.15262
2.55000,0.92282,0.69243,1.13127
2.56000,0.91937,0.71631,1.15664
2.57000,0.90347,0.68379,1.14919
2.58000,0.90347,0.65291,1.16238
2.59000,0.90347,0.66400,1.14613
2.60000,0.91083,0.68772,1.14158
2.61000,0.92078,0.70286,1.13135
2.62000,0.92078,0.68099,1.13085
2.63000,0.92078,0.68255,1.12182
2.64000,0.91083,0.69958,1.14896
2.65000,0.89232,0.64341,1.08500
2.66000,0.89232,0.62755,1.08521
2.67000,0.86910,0.60430,1.06457
2.68000,0.87269,0.60792,1.06026
2.69000,0.87269,0.61867,1.05507
2.70000,0.87454,0.61053,1.09817
2.71000,0.89419,0.64660,1.06907
2.72000,0.87454,0.59025,1.06641
2.73000,0.93468,0.69931,1.13239
2.74000,0.93468,0.68837,1.13718
2.75000,0.93291,0.71593,1.15294
2.76000,0.93291,0.69119,1.13808
2.77000,0.93291,0.69494,1.13863
2.78000,0.93591,0.69855,1.12836
2.79000,0.93591,0.70837,1.14378
2.80000,0.94084,0.70422,1.15362
2.81000,0.94084,0.70416,1.13530
2.82000,0.94765,0.70433,1.14583
2.83000,0.94765,0.70854,1.15502
2.84000,0.94765,0.70514,1.14245
2.85000,0.95026,0.71020,1.16787
2.86000,0.94058,0.69733,1.16857
2.87000,0.93468,0.70486,1.15833
2.88000,0.94444,0.71031,1.16140
2.89000,0.94444,0.70961,1.16137
2.90000,0.94444,0.71577,1.15020
2.91000,0.94444,0.71000,1.15812
2.92000,0.94444,0.70185,1.15631
2.93000,0.94444,0.70214,1.14800
2.94000,0.93464,0.68596,1.15985
2.95000,0.92426,0.70460,1.15534
2.96000,0.92426,0.68700,1.14754
2.97000,0.92426,0.68989,1.17851
2.98000,0.86033,0.59732,1.02148
2.99000,0.85522,0.59781,1.04040
3.00000,0.85522,0.60915,1.02615
3.01000,0.85733,0.61536,1.05321
3.02000,0.85733,0.61010,1.03913
3.03000,0.85176,0.61838,1.03727
3.04000,0.84084,0.62288,1.03467
3.05000,0.83584,0.60120,1.02874
3.06000,0.83236,0.62531,1.03319
3.07000,0.82533,0.59438,1.01449
3.08000,0.80587,0.57424,0.98409
3.09000,0.80587,0.57252,0.99088
3.10000,0.80587,0.57516,1.02775
3.11000,0.80587,0.59898,0.99533
3.12000,0.79062,0.57003,0.98763
3.13000,0.79269,0.55994,0.97065
3.14000,0.79062,0.57466,1.00640
3.15000,0.79062,0.57090,1.02127
3.16000,0.80284,0.57983,1.01494
3.17000,0.80284,0.60010,1.01748
3.18000,0.80284,0.58218,0.98107
3.19000,0.80284,0.59838,0.98541
3.20000,0.80284,0.60221,0.99917
3.21000,0.79930,0.58998,0.99484
3.22000,0.79066,0.61746,1.03310
3.23000,0.81066,0.60004,1.05113
3.24000,0.79448,0.59676,1.03791
3.25000,0.79448,0.59909,1.01424
3.26000,0.79448,0.56864,1.03706
3.27000,0.79748,0.60880,1.02930
3.28000,0.79748,0.60027,1.02063
3.29000,0.79748,0.61222,1.01127
3.30000,0.79665,0.58887,1.02831
3.31000,0.79665,0.61407,1.03937
3.32000,0.79665,0.61670,1.03185
3.33000,0.79014,0.62025,1.03444
3.34000,0.79564,0.64263,1.05906
3.35000,0.78671,0.57613,1.04151
3.36000,0.78671,0.62119,1.02178
3.37000,0.78671,0.57820,1.03090
3.38000,0.78445,0.61738,1.02993
3.39000,0.78445,0.61284,1.03476
3.40000,0.78063,0.60006,1.03725
3.41000,0.75639,0.59083,1.01318
3.42000,0.75639,0.56673,0.99694
3.43000,0.75938,0.57635,1.00410
3.44000,0.75565,0.58029,1.00835
3.45000,0.75565,0.59122,1.00286
3.46000,0.75565,0.58159,0.99932
3.47000,0.75565,0.56855,1.00440
3.48000,0.75565,0.58280,1.00537
3.49000,0.75565,0.58932,1.00465
3.50000,0.75565,0.57485,1.01075
3.51000,0.75565,0.59029,1.00856
3.52000,0.75810,0.57901,1.00779
3.53000,0.75663,0.57533,0.99615
3.54000,0.75663,0.59770,1.00451
3.55000,0.75663,0.57886,0.99815
3.56000,0.75663,0.59732,0.99948
3.57000,0.73880,0.55081,0.96542
3.58000,0.73880,0.56691,0.97987
3.59000,0.73880,0.56134,0.97629
3.60000,0.70592,0.51274,0.91938
3.61000,0.70592,0.49791,0.92383
3.62000,0.70248,0.51663,0.93094
3.63000,0.69197,0.48875,0.90633
3.64000,0.69948,0.51605,0.92545
3.65000,0.69948,0.52346,0.91800
3.66000,0.69948,0.52827,0.91922
3.67000,0.69948,0.51269,0.92347
3.68000,0.69948,0.52485,0.92596
3.69000,0.69948,0.50407,0.92398
3.70000,0.69948,0.51835,0.91985
3.71000,0.69948,0.51002,0.91962
3.72000,0.69197,0.49001,0.90482
3.73000,0.69197,0.49946,0.91383
3.74000,0.69197,0.49887,0.90036
3.75000,0.67938,0.47455,0.89508
3.76000,0.69649,0.51114,0.92474
3.77000,0.69649,0.50799,0.90643
3.78000,0.69649,0.50349,0.91475
3.79000,0.69649,0.49543,0.92206
3.80000,0.69649,0.50908,0.90600
3.81000,0.69649,0.49779,0.91702
3.82000,0.69649,0.50335,0.92634
3.83000,0.70672,0.51444,0.93083
3.84000,0.70672,0.51705,0.92378
3.85000,0.69838,0.49946,0.90718
3.86000,0.69964,0.51553,0.91686
3.87000,0.70830,0.52365,0.92364
3.88000,0.70830,0.52236,0.94626
3.89000,0.71010,0.51497,0.93366
3.90000,0.71010,0.52381,0.93191
3.91000,0.71010,0.50525,0.93196
3.92000,0.71010,0.49628,0.92694
3.93000,0.71010,0.51181,0.93780
3.94000,0.70993,0.52101,0.93800
3.95000,0.70005,0.48982,0.93128
3.96000,0.70005,0.48821,0.91830
3.97000,0.69036,0.49585,0.91972
3.98000,0.69036,0.47590,0.91417
3.99000,0.69036,0.47636,0.92932
4.00000,0.68398,0.47117,0.91202
